draw by stalemate | 8/2p5/8/5kbK/4b3/8/8/8 w - - 7 130
draw by insufficient material | 8/3K4/k2B4/8/8/8/2b5/8 b - - 0 164
draw by insufficient material | 8/6k1/8/8/8/7K/8/8 w - - 0 269
black win | 8/2R2bp1/3k4/P7/P2K1p2/b3q3/4r1n1/7R w - - 19 72
draw by insufficient material | 8/8/8/8/8/k7/8/2K5 w - - 0 227
draw by insufficient material | 2N5/8/8/8/8/8/K1k5/8 b - - 0 139
draw by insufficient material | N7/8/4k3/8/8/1K6/8/8 b - - 0 272
draw by insufficient material | 8/8/8/3k4/8/1K3b2/8/8 b - - 0 214
draw by 50 move rule | 8/8/6k1/8/6R1/8/2K5/8 b - - 100 273
draw by 50 move rule | 8/3r4/1R6/3k4/8/8/5K2/8 w - - 100 168
draw by insufficient material | 8/5K2/8/4k3/8/8/8/8 w - - 0 199
draw by insufficient material | 4K2B/8/1k6/8/8/8/8/8 w - - 0 185
draw by insufficient material | 5N2/1k6/8/8/8/8/8/K7 b - - 0 194
draw by insufficient material | 8/8/4k3/8/8/8/3K4/8 w - - 0 174
draw by stalemate | 4k1n1/8/p5r1/8/r7/5n1K/8/8 w - - 2 112
draw by 50 move rule | 7R/8/4k3/6K1/8/8/8/8 b - - 100 233
draw by insufficient material | 8/k7/8/8/8/8/8/3K4 w - - 0 176
draw by stalemate | 2K5/4kb2/1r6/4b3/8/8/8/2b5 w - - 6 130
draw by insufficient material | 8/5n2/2k5/8/8/8/4K3/8 b - - 0 150
draw by 50 move rule | 4r3/8/8/8/8/N5k1/3K4/8 b - - 100 190
draw by insufficient material | 8/8/2k5/2B5/8/8/8/3Kb3 w - - 0 147
draw by insufficient material | 4B3/8/8/8/3k4/8/3K4/8 b - - 0 160
draw by insufficient material | 8/8/5k2/8/7N/8/8/4K3 b - - 0 112
draw by threefold repitition | 8/6K1/k1p5/2P5/8/8/8/8 b - - 80 202
draw by insufficient material | 5n2/3k4/8/8/4K3/8/8/8 w - - 0 186
draw by insufficient material | 5k2/8/2K5/8/8/8/8/8 b - - 0 177
draw by 50 move rule | 8/4b2K/8/8/k7/5q2/8/8 b - - 100 207
draw by insufficient material | 6N1/8/1k6/8/8/6n1/5K2/8 b - - 0 140
white win | b4r2/5p1p/p1N1n1nb/q2kP3/P1p4P/3N2B1/K2PR1B1/8 b - - 2 57
black win | 3B4/8/2k5/Kq6/8/8/8/8 w - - 37 162
draw by threefold repitition | 8/4r3/8/5kr1/p7/8/7K/3b4 w - - 10 131
draw by insufficient material | N7/8/5k2/8/8/8/K7/8 b - - 0 163
draw by insufficient material | 8/8/8/8/8/3k4/K7/b7 b - - 0 193
draw by insufficient material | 8/4K2k/8/8/8/8/8/8 b - - 0 153
black win | 7q/8/8/8/5k1K/8/8/8 w - - 34 162
draw by insufficient material | 8/8/8/k4K2/8/b7/8/8 b - - 0 234
white win | 8/8/3Q4/8/K1k5/8/2R5/8 b - - 26 181
draw by insufficient material | 8/8/6K1/8/5k2/8/8/8 w - - 0 219
draw by insufficient material | 8/8/7k/8/8/8/7K/8 w - - 0 207
draw by insufficient material | 8/8/8/6k1/8/5K2/8/8 w - - 0 172
draw by insufficient material | 8/8/8/8/8/7k/8/3K3b w - - 0 196
white win | R7/4N3/2K5/2P5/k7/6B1/8/1Q6 b - - 50 188
draw by insufficient material | 8/8/8/8/1K6/8/4B1k1/6b1 b - - 0 118
draw by 50 move rule | 6n1/8/7N/8/4k3/8/1K4B1/8 b - - 100 230
draw by insufficient material | 8/4K3/8/2B5/8/8/4k3/8 b - - 0 219
draw by insufficient material | 8/8/8/8/1K3b2/8/1k6/8 b - - 0 234
draw by insufficient material | 8/8/4B3/2k5/7n/7K/8/8 w - - 0 157
draw by insufficient material | 7B/8/4k3/8/8/8/8/5K2 w - - 0 180
white win | 7k/6R1/1P2B2Q/4K3/8/p7/3p3P/6NR b - - 1 72
draw by 50 move rule | 8/2k5/8/8/8/1K6/6R1/3r4 w - - 100 269
draw by insufficient material | 1n6/8/8/5k2/5N2/8/5K2/8 b - - 0 156
draw by insufficient material | 2K2N2/8/8/8/8/1k6/8/8 w - - 0 202
draw by stalemate | 8/4r3/b5k1/1p6/8/2n4p/5q2/7K w - - 0 61
draw by insufficient material | 8/8/8/3k4/8/7K/8/8 b - - 0 200
draw by insufficient material | 7N/3K4/8/3k4/8/8/8/8 b - - 0 207
draw by 50 move rule | 8/5K2/8/8/8/3r1k2/8/8 w - - 100 226
draw by insufficient material | 8/6K1/8/8/8/8/8/3k2n1 b - - 0 152
draw by insufficient material | k6N/8/8/2K5/8/8/8/8 b - - 0 207
draw by 50 move rule | 4B3/2K5/N7/8/8/8/8/7k w - - 100 240
draw by insufficient material | 8/3k4/7K/8/8/8/8/8 b - - 0 141
draw by insufficient material | 8/5b2/2K4k/8/8/8/8/8 b - - 0 154
draw by insufficient material | 8/k7/4K3/4n3/7N/8/8/8 b - - 0 145
draw by 50 move rule | 8/8/8/8/8/3k4/4r3/6K1 b - - 100 205
draw by insufficient material | 8/5k2/b1K5/8/8/8/8/8 b - - 0 156
draw by 50 move rule | 2K5/8/2n5/8/8/8/6k1/2R5 w - - 100 163
black win | 4k2r/pB4B1/6p1/R2p2bp/2bP4/5n1P/1q6/6KR w - - 0 47
draw by insufficient material | 8/4k1B1/6K1/8/8/8/8/8 b - - 0 166
white win | 8/k1Kn4/8/8/7P/R7/8/8 b - - 38 163
draw by 50 move rule | 8/8/5K2/8/8/8/5n2/1k5n b - - 100 218
draw by 50 move rule | 8/8/8/8/2p1K3/2P5/5k2/8 b - - 100 140
draw by insufficient material | 2n5/3k4/8/8/3K4/8/8/8 b - - 0 153
white win | R6k/8/6K1/1P1N4/P7/8/1b4R1/8 b - - 52 171
draw by insufficient material | 8/8/5K2/8/7k/8/8/8 b - - 0 188
draw by insufficient material | 2k5/8/8/8/8/8/1K6/8 w - - 0 193
draw by insufficient material | 8/7K/8/8/8/8/6k1/8 w - - 0 225
black win | 7B/8/6B1/4PR2/8/3pk3/8/r2K4 w - - 0 132
white win | 3R2k1/8/Bp4K1/5n2/8/8/6n1/5r2 b - - 1 111
draw by insufficient material | 8/4k3/6B1/Kn6/8/8/8/8 w - - 0 144
draw by insufficient material | k7/8/8/8/8/4b3/8/5K2 w - - 0 186
draw by insufficient material | 8/8/8/2k5/8/8/2K5/8 b - - 0 264
draw by insufficient material | 3k4/8/8/8/8/8/8/1K1b4 w - - 0 122
draw by insufficient material | 1K6/8/8/8/8/8/4k3/8 b - - 0 174
draw by insufficient material | 7k/8/8/8/8/7n/2K5/4B3 b - - 0 214
draw by insufficient material | 8/3k4/5B2/6K1/8/8/8/8 b - - 0 110
draw by 50 move rule | 7B/7k/2K5/N7/3R4/B7/8/8 b - - 100 174
white win | 8/5R2/R6k/1B2PN1p/5p1P/1p1R3P/nB6/4K3 b - - 35 100
draw by 50 move rule | 8/8/8/8/1K1N4/8/3k3r/8 b - - 100 234
draw by insufficient material | 8/8/6b1/8/8/5k1K/8/8 b - - 0 229
white win | 8/7R/2p5/2P5/8/1b6/5K1k/8 b - - 25 246
draw by 50 move rule | 8/8/8/7p/5k1P/8/1K6/8 b - - 100 262
draw by insufficient material | 8/4B3/6b1/1k6/8/K7/8/8 w - - 0 159
draw by insufficient material | 4K3/8/8/8/1k6/8/8/8 b - - 0 122
black win | r1r5/8/2Nn1k2/p2p2pP/8/1P6/1b1Kqq2/8 w - - 0 56
draw by insufficient material | N7/8/4K3/8/8/8/5k2/7b b - - 0 193
draw by insufficient material | 6k1/8/4N3/2K5/8/8/8/7b w - - 0 161
draw by 50 move rule | 8/8/2k5/8/8/5r2/6R1/K7 w - - 100 225
black win | 8/1R3r2/P7/2k5/7p/5p2/3q4/2bK4 w - - 2 85
draw by insufficient material | 5k2/8/4K3/8/8/8/8/8 b - - 0 202
draw by insufficient material | 8/8/8/2k5/4K3/8/2n5/8 b - - 0 122
draw by insufficient material | 8/8/8/7k/7n/2K4N/8/8 w - - 0 131
white win | 1n3r2/3b3k/2p1B2R/2P1B1P1/3P1P2/2p5/4R1p1/2K3N1 b - - 0 57
white win | 3r4/1b4Qk/2pp4/1p1qB2p/2P3PP/PP1RP1P1/1N6/1NK2R2 b - - 0 32
draw by stalemate | K7/P1k5/r7/8/8/8/8/6r1 w - - 1 203
draw by insufficient material | 8/1k6/8/8/1K6/8/8/8 b - - 0 190
draw by insufficient material | 8/8/3k4/8/8/7K/8/8 b - - 0 198
draw by insufficient material | 1k1n4/8/8/8/8/8/6K1/8 b - - 0 175
black win | 6k1/5n2/8/6N1/7P/2n5/1p1r4/K7 w - - 0 67
draw by 50 move rule | 3K4/8/8/6n1/7k/p7/P7/8 b - - 100 171
draw by 50 move rule | k7/5K2/8/4r3/8/8/8/8 b - - 100 231
draw by insufficient material | 8/2B5/8/8/2k2K2/8/8/8 w - - 0 195
draw by 50 move rule | 8/b7/8/5k2/1K6/3b4/5n2/8 b - - 100 240
draw by insufficient material | 8/3N4/8/6k1/8/K4n2/8/8 b - - 0 138
draw by insufficient material | 6N1/2k5/8/7K/8/8/8/8 b - - 0 157
white win | 2r2bQN/1b5k/3pP3/p1p4p/1p6/2P1B2p/1P3P1P/1R1KN1R1 b - - 10 50
draw by 50 move rule | 8/8/4k3/8/5n2/K2n4/8/8 w - - 100 171
draw by insufficient material | 6N1/8/8/2k3K1/8/4n3/8/8 b - - 0 196
white win | 7Q/8/8/P2b1K2/P2Pnppk/5R2/2r5/8 b - - 8 101
draw by stalemate | 5Q2/7k/8/6K1/8/8/8/8 b - - 2 147
draw by stalemate | 8/2k4p/7P/6b1/8/7K/p7/5nr1 w - - 4 124
draw by 50 move rule | 8/8/7r/2k5/4K2b/8/5r2/8 w - - 100 181
draw by stalemate | 8/8/6r1/7p/5b2/8/2k5/7K w - - 22 171
draw by insufficient material | 4N3/8/8/8/8/2K5/7k/8 b - - 0 156
draw by 50 move rule | 6k1/8/7p/7P/8/2K5/8/8 w - - 100 216
white win | 4Q3/2Pk4/N3R3/5p2/1P1n1P2/8/K3b3/8 b - - 2 75
black win | 1B4k1/8/p7/2p2p2/3q3P/1RK1p3/b7/n7 w - - 4 95
draw by insufficient material | 7B/k7/4K3/8/8/8/8/8 b - - 0 157
black win | 8/8/8/8/8/7k/2R5/5r1K w - - 0 119
draw by 50 move rule | 8/6k1/4R3/8/2R5/8/8/4K3 b - - 100 214
draw by insufficient material | 8/8/5k2/8/1N6/8/8/6K1 w - - 0 195
draw by 50 move rule | 8/8/1B6/6k1/8/8/7R/6K1 b - - 100 225
white win | 3R1k2/1R6/8/8/8/5pK1/8/8 b - - 28 115
white win | 3Q1kr1/8/1R2P1PP/8/2b5/5K2/8/b4n2 b - - 0 84
draw by insufficient material | 4K3/6k1/8/8/8/8/8/1n6 w - - 0 146
white win | k4R2/8/1K6/8/8/8/8/8 b - - 1 239
draw by stalemate | 2Q5/k7/3P4/p1P4P/P6P/5PK1/R7/8 b - - 0 78
draw by 50 move rule | 8/8/8/8/2k2r2/4K3/8/8 w - - 100 245
draw by insufficient material | 8/5K2/1k6/8/8/8/8/8 w - - 0 193
draw by insufficient material | 8/8/8/3k4/8/2K2b2/8/8 b - - 0 137
draw by 50 move rule | 2r5/8/8/5k2/8/8/5K2/8 w - - 100 204
draw by insufficient material | b7/1k2B3/8/8/8/1K6/8/8 w - - 0 122
draw by insufficient material | 8/4N3/8/8/8/4k3/6K1/8 w - - 0 142
draw by insufficient material | 4B3/1K6/7k/8/8/8/8/8 b - - 0 219
black win | 6k1/4B1r1/8/3p4/8/P2p3R/1n5K/1q5r w - - 2 100
draw by insufficient material | 6k1/8/8/2K5/8/6b1/8/8 b - - 0 141
draw by insufficient material | 1K6/7k/B7/8/7b/8/8/8 w - - 0 144
draw by insufficient material | N7/8/8/8/4k3/6K1/5n2/8 w - - 0 201
draw by insufficient material | B7/4k3/8/8/8/8/8/3K4 b - - 0 210
draw by insufficient material | 6k1/8/8/8/8/6K1/2b5/8 w - - 0 151
draw by 50 move rule | 3k4/8/8/1N5p/K6P/8/8/8 w - - 100 252
draw by insufficient material | 8/8/1k6/8/7K/8/8/8 b - - 0 242
draw by insufficient material | 8/8/k7/5b2/8/4K3/8/8 b - - 0 208
draw by insufficient material | 1n4k1/8/8/8/8/7K/8/8 b - - 0 196
draw by insufficient material | 1K6/8/8/8/1k6/8/8/8 w - - 0 201
draw by 50 move rule | 4K3/8/8/4b3/8/8/4kq2/8 w - - 100 228
draw by 50 move rule | 8/K2k4/8/8/8/1q6/8/8 w - - 100 200
draw by stalemate | 8/8/8/8/8/q6p/3k4/1K6 w - - 4 152
draw by stalemate | 4K1k1/5r2/5b2/8/p7/p7/8/5q2 w - - 10 163
draw by insufficient material | 8/8/4k3/8/8/K1N5/8/8 w - - 0 207
draw by 50 move rule | 2b1K3/8/3b1q2/6k1/8/8/8/8 b - - 100 188
draw by stalemate | 5Q2/7k/3B4/5P2/P5BP/8/2K2N2/6RR b - - 4 93
draw by insufficient material | 8/8/8/5k2/8/6K1/7B/8 b - - 0 191
draw by insufficient material | 8/5b2/7k/8/8/8/8/5K2 b - - 0 174
draw by insufficient material | 8/8/b7/6B1/8/7k/1K6/8 w - - 0 156
draw by insufficient material | 6K1/8/k7/1b6/8/8/8/6B1 b - - 0 152
draw by insufficient material | 2b5/2k5/8/8/6B1/8/8/1K6 b - - 0 155
draw by insufficient material | 8/8/4K3/8/2k5/8/8/6n1 w - - 0 243
draw by threefold repitition | 2k5/8/7p/5K1P/8/8/8/8 b - - 46 194
draw by insufficient material | 8/3K3b/8/1N6/8/6k1/8/8 b - - 0 146
black win | 1rbk4/8/pp2prpP/4bp2/3p3P/1P1P4/P3BR2/1R1Q1K1q w - - 3 35
draw by 50 move rule | 8/7k/8/2K5/8/8/7r/8 b - - 100 181
draw by 50 move rule | 2R5/k7/8/8/8/2K5/8/8 b - - 100 179
draw by 50 move rule | 8/N7/8/P5k1/8/1B6/8/5K2 w - - 100 205
draw by insufficient material | B7/8/8/8/3n4/8/8/1K2k3 b - - 0 115
black win | 1r3b2/kqK5/8/P3Pp2/P1R3p1/1N6/8/4N3 w - - 7 94
draw by insufficient material | 6k1/8/8/3K4/8/3b4/8/8 w - - 0 155
